제목,발행년도,작가,출판사,별점
Inspector Imanishi Investigates (Soho Crime),2003,Seicho Matsumoto,"Soho Crime; Revised ed. edition (July 1, 2003)",4.0
"The English Monster: or, The Melancholy Transactions of William Ablass",2012,Lloyd Shepherd,"Atria Books (May 29, 2012)",4.0
Sunrise Highway (Lourdes Robles Novels Book 2),2018,Peter Blauner,"Minotaur Books (September 4, 2018)",3.9
I'll Ride For My Hood: A Salty Love Story,2016,Aleta Williams,"Alana's Book Line; 1st edition (January 5, 2016)",4.6
Simantov,2020,Asaf Ashery,"Angry Robot (April 14, 2020)",3.8
Killing His Fear,2012,John B Wren,"JBW / Create Space; 1st edition (September 12, 2012)",4.1
Jealousy,2018,Nancy Bush,"Zebra Books (August 28, 2018)",4.4
Time's Demon: BOOK II OF THE ISLEVALE CYCLE,2019,D. B. Jackson,"Angry Robot (May 7, 2019)",4.3
Monster Kisses,2017,Kyle L.B. Morey,"C Turtle Publishing, LLC; 1st edition (December 18, 2017)",4.7
"The Real Witches’ Garden: Spells, Herbs, Plants and Magical Spaces Outdoors",2016,Kate West,"Element (March 10, 2016)",4.6
Consort (A Dark(ish) Faerie Tale Book 3),2018,Candace Blevins,"Kaleidowords Publishing (May 11, 2018)",4.5
H. P. Lovecraft: The Complete Fiction,2023,H.P. Lovecraft,"KTHTK (May 22, 2023)",4.6
Fires Rising,2011,Michael Laimo,"Crossroad Press; Crossroad Press Digital Edition (October 15, 2011)",3.5
Vigilante (Gia Santella Crime Thriller Series Book 2),2021,Kristi Belcamino,"Liquid Mind Publishing (February 21, 2021)",4.5
Eating the Honey of Words: New and Selected Poems,2009,Robert Bly,"HarperCollins e-books (October 6, 2009)",4.6
One-Day Crochet: Projects: Easy Crochet Projects You Can Complete in One Day (Easy Crochet Series),2014,Barb Asselin,"Barb Asselin; 1st edition (July 31, 2014)",4.3
Dreams of Thanatos: Collected Macabre Tales,2014,William Cook,"King Billy Publications; 1st edition (February 17, 2014)",4.3
The Water's Edge (The Southampton Trilogy Book 2),2012,Daniel Judson,"Daniel Judson; 2nd edition (August 27, 2012)",4.3
Around the Corners,2010,Ed Helenski,"The Morass Press; Second Digital Edition (September 16, 2010)",3.7
Kindle Direct Publishing: How to write an Ebook!,2020,Amrita Suresh,"Radiance Publishing (April 5, 2020)",5.0
Betrayal,2012,Paul Carson,"Cornerstone Digital; New Ed edition (February 29, 2012)",3.9
Nomads (NewCon Press Novellas Set 5 Book 1),2019,Dave Hutchinson,"NewCon Press (February 9, 2019)",4.6
"Ravenhurst Vol. 1 (A Time Travel Romance) (Ravenhurst Trilogy, Book One) Reader's Choice Edition",2016,Lorraine Beaumont,"Lorraine Beaumont Books (February 23, 2016)",4.0
Full Moon: The Amazing Rock and Roll Life of Keith Moon,2012,Peter Lawrence,"Faber & Faber; Main edition (June 19, 2012)",4.2
The Retribution,2022,Mike Wardle,"Burning Chair Limited (June 2, 2022)",4.3
"The Fiction Editor, the Novel, and the Novelist",2012,Thomas McCormack,"Paul Dry Books (March 2, 2012)",4.0
HARBINGER OF EVIL (mystery thriller),2011,Meb Bryant,"Simomma Publishing; 1st edition (April 23, 2011)",4.6
Cora the Cow Crashes the Circus,2016,Anna Bandanna,"Heritage Publishing (September 1, 2016)",4.4
Writing Three Dimensional Characters (Writing Books that Count Book 1),2013,Ashley Elizabeth Ludwig,"Beach Comber Press (May 20, 2013)",5.0
The Fall of Empires: A Brief History of Imperial Collapse,2020,Chad Denton,"Westholme Publishing; 1st edition (May 21, 2020)",4.4
Dead If You Don't: A Roy Grace Novel 14,2018,Peter James,"Macmillan (May 8, 2018)",4.4
The Alibi,2013,Sandra Brown,"Grand Central Publishing (August 27, 2013)",4.3
"The Untimely Demise of Leo Sunderland: A Half-Way Point Short Story (Death, Reaper, Grimm, Heaven, Hell, Humour, Dying, Fantasy, Myth, Legend Book 1)",2016,Jamiee Morgan,"Little Cottage Publishing (July 9, 2016)",4.2
"Eagle Blue: A Team, a Tribe, and a High School Basketball Season in Arctic Alaska",2008,Michael D'Orso,"Bloomsbury USA; 1st edition (December 13, 2008)",4.3
Later,2021,Stephen King,"Hard Case Crime (March 2, 2021)",4.5
Vengeance Burns Hot,2019,Rick E George,"Unsolicited Press (May 7, 2019)",4.4
Flashback,2007,Gary Braver,"Forge Books; 1st edition (October 30, 2007)",4.4
Backwash (DCI Tom Caton Manchester Murder Mysteries Series Book 8),2013,Bill Rogers,"Caton Books Ltd; 3rd edition (March 26, 2013)",4.4
The Little Book of Economics: How the Economy Works in the Real World (Little Books. Big Profits),2012,Greg Ip,"Wiley; 2nd edition (December 17, 2012)",4.4
Daddy's Promise: A Western Daddy Erotic Romance Novel (Merrin-Holt Feud Book 4),2020,R.R. Ward,"Alpha House Books (June 10, 2020)",3.9
Misfire (The Kate Downey Medical Mystery Series Book 2),2023,Tammy Euliano,"Oceanview Publishing (January 3, 2023)",4.4
Emperor: The Gates of Rome (Emperor Series Book 1),2009,Conn Iggulden,"HarperCollins (March 20, 2009)",4.4
The Death of Life: A twisty private investigator thriller (The Little Things That Kill Series Book 2),2018,Pamela Crane,"Tabella House (May 10, 2018)",4.4
Ill-considered Expeditions (Short Sharp Shocks),2015,Gerry Griffiths,"April Moon Books; 1st edition (September 19, 2015)",3.6
Broken Heart: How can someone just disappear? . . . Find out in this TWISTY THRILLER (David Raker Missing Persons Book 7),2016,Tim Weaver,"Penguin; 1st edition (July 28, 2016)",4.3
The Night Agent: A Novel,2019,Matthew Quirk,"William Morrow (January 15, 2019)",4.4
Tales from the Canyons of the Damned: No. 41,2022,Daniel Arthur Smith,"Holt Smith Limited (September 27, 2022)",5.0
The Debutante's Secret: Western Historical Romance (The Debutantes of Durango Book 2),2020,Peggy McKenzie,"Columbine Publishing Company (September 1, 2020)",4.5
Twisted Fairy Tale Anthology,2009,Charlotte Emma Gledson,"Unexpected Spark; 1st edition (November 13, 2009)",3.3
Capturing Mr Darcy: a Pride and Prejudice short story,2022,Alice Mcveigh,"Warleigh Hall Press; 1st edition (December 2, 2022)",3.5
Down The Beaten Path,2016,Chad A. Clark,"Darker Worlds Publishing (September 6, 2016)",3.9
Psychic Abilities: How to Train and Use Them,1999,Marcia L. Pickands,"Weiser Books (October 1, 1999)",5.0
Never Any End to Paris,2011,Enrique Vila-Matas,"New Directions; 1st edition (May 24, 2011)",4.3
Death Penalty: A Charley Sloan Courtroom Thriller (Charley Sloan Courtroom Thrillers Book 2),2004,William J. Coughlin,"St. Martin's Paperbacks; Reprint edition (November 2, 2004)",4.5
Shadow (Witches of Coventry House Book 4),2020,Christina Garner,"cWc Publishing (March 24, 2020)",4.6
Navy Hospital Corpsman: NAVEDTRA 14295 Following the Model for Military Education,2010,Mindy J. Allport-Settle,"PharmaLogika (September 28, 2010)",4.1
Ultra Deep Field,2018,Ace Boggess,"Brick Road Poetry Press, Inc. (May 19, 2018)",4.7
Fate Takes A Hand (Betty Neels Collection),2013,Betty Neels,"Mills & Boon Special Release (August 1, 2013)",4.3
DEFCON One,2012,Joe Weber,"Ignition Books® (June 21, 2012)",4.3
The Bloody Red Baron (Anno Dracula),2012,Kim Newman,"Titan Books; Reprint edition (April 27, 2012)",4.5
Gluten Free Dining in Italian Restaurants (Let’s Eat Out Around The World Book 5),2013,Kim Koeller,"Gluten Free Passport (January 23, 2013)",1.0
Inspection: A Novel,2019,Josh Malerman,"Del Rey (March 19, 2019)",4.0
TRAZER: KIDS OF STOLEN TOMORROW (Trazer Series Book 1),2017,JOSEPH O. ADEGBOYEGA-EDUN,"YorubaBoy Books (October 18, 2017)",4.2
Dusk,2020,Eddie Generous,"Unnerving (November 30, 2020)",5.0
"Dazed and Confused: A Dramatic Horror Novella: Jane the Hippie Vampire, Book 5",2015,Lisa Lane,"Cerebral Books (September 30, 2015)",4.7
The Protectors (The Candi Reynolds Series Book 3),2017,April Hollingworth,"The Wild Rose Press, Inc (May 24, 2017)",5.0
Corrupted Oath (Suvorov Bratva Book 3),2022,Brook Wilder,"Scholae Palatina, Inc. (September 22, 2022)",4.3
Dying To Know You,2011,J. M. Zambrano,"J.M.Zambrano (April 23, 2011)",4.6
A Wild Rose (A Point in Time collection),2022,Fiona Davis,"Amazon Original Stories (July 28, 2022)",4.0
Artful Bird: Feathered Friends to Make and Sew,2013,Abigail Patner Glassenberg,"Interweave (May 15, 2013)",4.5
The Gran Tour: Travels with my Elders,2020,Ben Aitken,"Icon Books (September 3, 2020)",4.2
The Novel-Maker's Handbook: the no-nonsense guide to crafting a marketable story,2016,Diane O'Connell,"Station Square Media (March 24, 2016)",4.7
Winning the Battle (Alec London Series Book 4),2012,Stephanie Perry Moore,"Lift Every Voice; New edition (January 1, 2012)",4.9
The Girl with the Dragon Tattoo: Book One Of The Millennium Trilogy (The Girl with the Dragon Tattoo Series 1),2010,Stieg Larsson,"Penguin Canada (January 5, 2010)",4.5
MISSING OR MURDER: THE JOHNNY SUNDANCE MYSTERY SERIES - BOOK 2 (JOHNNY SUNDANCE FLORIDA MYSTERIES),2016,Ronald Yarosh,"ronyaroshbooks.com (August 15, 2016)",4.3
Dreamstrider,2015,Lindsay Smith,"Roaring Brook Press (October 6, 2015)",4.0
Harry's Game - Sands of Time,2021,Karl Jackson,"Alpaca & Goose; 1st edition (November 1, 2021)",5.0
